Date,AAPL,MSFT,GOOGL,GOOG,AMZN,META,TSLA,NVDA,ORCL,INTC,CRM,ADBE,CSCO,AMD,IBM
2024-04-01,169.23092651367188,421.3531188964844,154.75015258789062,155.7622528076172,180.97000122070312,489.5639953613281,175.22000122070312,90.33331298828125,123.69493103027344,44.060401916503906,300.5016174316406,502.0899963378906,48.18735122680664,183.33999633789062,183.65382385253906
2024-04-02,168.04649353027344,418.246826171875,153.8245849609375,155.1352081298828,180.69000244140625,495.5621337890625,166.6300048828125,89.42261505126953,122.57113647460938,43.48638916015625,302.2314758300781,499.2099914550781,47.532527923583984,178.6999969482422,182.73472595214844
2024-04-03,168.85269165039062,417.26434326171875,154.18284606933594,155.63284301757812,182.41000366210938,504.8980712890625,168.3800048828125,88.93477630615234,124.44412231445312,39.913658142089844,302.9671325683594,497.010009765625,47.31894302368164,180.77000427246094,184.6890106201172
2024-04-04,168.026611328125,414.71380615234375,149.81375122070312,151.22373962402344,180.0,509.0628967285156,171.11000061035156,85.87677764892578,122.42327880859375,39.31985092163086,292.4288330078125,487.1099853515625,46.707313537597656,165.8300018310547,181.82530212402344
2024-04-05,168.7830352783203,422.2958984375,151.7743682861328,153.2143096923828,185.07000732421875,525.4232177734375,164.89999389648438,87.97909545898438,123.12317657470703,38.31037902832031,300.1536560058594,485.1199951171875,47.13447952270508,170.4199981689453,182.98626708984375
2024-04-08,167.65834045410156,421.3729553222656,154.11318969726562,155.4039306640625,185.19000244140625,517.3626098632812,172.97999572753906,87.10437774658203,122.58100128173828,37.58791732788086,299.97467041015625,484.2799987792969,46.833526611328125,169.89999389648438,183.64414978027344
2024-04-09,168.8726043701172,423.0501708984375,155.85487365722656,157.39451599121094,185.6699981689453,515.0211791992188,176.8800048828125,85.3259506225586,121.86895751953125,37.93430709838867,300.6109313964844,492.54998779296875,48.551910400390625,170.77999877929688,183.15072631835938
2024-04-10,166.99147033691406,420.05303955078125,155.39706420898438,156.91676330566406,185.9499969482422,517.9405517578125,171.75999450683594,87.01040649414062,120.4052963256836,36.81596755981445,297.876953125,487.2200012207031,47.775238037109375,167.13999938964844,179.9871063232422
2024-04-11,174.2173614501953,424.6876525878906,158.6514892578125,160.0320281982422,189.0500030517578,521.2584228515625,174.60000610351562,90.58623504638672,121.87884521484375,37.24153137207031,297.4096984863281,484.2799987792969,48.085906982421875,170.5,179.8516845703125
2024-04-12,175.72027587890625,418.7033386230469,156.9794921875,158.43955993652344,186.1300048828125,510.0393371582031,171.0500030517578,88.15703582763672,119.77236938476562,35.321556091308594,292.6078186035156,474.0899963378906,47.07623291015625,163.27999877929688,176.33978271484375
2024-04-15,171.87841796875,410.5059509277344,154.12315368652344,155.59304809570312,183.6199951171875,498.4117736816406,161.47999572753906,85.97274017333984,118.55595397949219,35.935157775878906,271.3123779296875,470.1000061035156,46.833526611328125,160.32000732421875,175.3529815673828
2024-04-16,168.583984375,411.43878173828125,153.6653289794922,155.2646026611328,183.32000732421875,497.9434509277344,157.11000061035156,87.38628387451172,119.28778076171875,35.88566970825195,275.796142578125,476.2200012207031,46.52284622192383,163.4600067138672,177.77162170410156
2024-04-17,167.21046447753906,408.7195739746094,154.73025512695312,156.14044189453125,181.27999877929688,492.3737487792969,155.4499969482422,84.00739288330078,117.35931396484375,35.31166076660156,274.7125244140625,474.45001220703125,46.39664077758789,154.02000427246094,177.1427764892578
2024-04-18,166.25497436523438,401.2069091796875,155.26766967773438,156.71771240234375,179.22000122070312,499.97601318359375,149.92999267578125,84.64318084716797,114.71881103515625,34.67826843261719,270.338134765625,473.17999267578125,46.707313537597656,155.0800018310547,175.56581115722656
2024-04-19,164.22454833984375,396.095947265625,153.35679626464844,154.98593139648438,174.6300048828125,479.3213806152344,147.0500030517578,76.17497253417969,113.61117553710938,33.84694290161133,268.797119140625,465.0199890136719,46.91118621826172,146.63999938964844,175.67222595214844
2024-04-22,165.06060791015625,397.9220275878906,155.53639221191406,157.2053985595703,177.22999572753906,479.9789733886719,142.0500030517578,79.49188232421875,113.26504516601562,34.054771423339844,272.2170715332031,466.8900146484375,46.73643493652344,148.63999938964844,175.9818115234375
2024-04-23,166.11563110351562,404.48193359375,157.5069580078125,159.16610717773438,179.5399932861328,494.2967529296875,144.67999267578125,82.39592742919922,113.81884765625,33.92611312866211,275.07037353515625,472.8999938964844,46.91118621826172,152.27000427246094,176.26239013671875
2024-04-24,168.2256622314453,405.96063232421875,158.37283325195312,160.34056091308594,176.58999633789062,491.7062072753906,162.1300048828125,79.65082550048828,114.06609344482422,34.14384078979492,274.583251953125,477.1199951171875,46.94031524658203,151.74000549316406,178.11024475097656
2024-04-25,169.09158325195312,396.0165710449219,155.25772094726562,157.2053985595703,173.6699981689453,439.775634765625,170.17999267578125,82.6048583984375,113.62106323242188,34.74754333496094,271.5509948730469,473.44000244140625,46.697601318359375,153.75999450683594,163.41445922851562
2024-04-26,168.5043487548828,403.2414245605469,171.1318359375,172.8712158203125,179.6199951171875,441.6787414550781,168.2899932861328,87.70619201660156,115.91544342041016,31.55088996887207,272.6943664550781,477.55999755859375,46.464599609375,157.39999389648438,161.69236755371094
2024-04-29,172.6846160888672,399.20220947265625,165.35940551757812,167.10848999023438,180.9600067138672,431.0474548339844,194.0500030517578,87.72816467285156,115.2033920288086,31.036256790161133,274.1358337402344,473.07000732421875,46.386932373046875,160.1999969482422,161.9825897216797
